CDS_Id,Name,emp_n,emp_exceed_abs_z_gt_2,emp_exceed_abs_z_gt_3,smw_oot_n,smw_oot_exceed_abs_z_gt_2,smw_oot_exceed_abs_z_gt_3
267,United Business Media,2078,0.04571703561116458,0.0028873917228103944,416,0.3701923076923077,0.3125
268,United Utilities,2165,0.04480369515011547,0.002771362586605081,433,0.04157043879907621,0.004618937644341801
270,UPM-Kymmene,2165,0.045265588914549654,0.002771362586605081,433,0.046189376443418015,0.0023094688221709007
272,Valeo,2165,0.045265588914549654,0.002771362586605081,433,0.018475750577367205,0.004618937644341801
273,Vattenfall,2165,0.045727482678983834,0.002771362586605081,433,0.04157043879907621,0.0023094688221709007
274,Veolia Environnement,2165,0.045265588914549654,0.002771362586605081,433,0.009237875288683603,0.0023094688221709007
275,Vinci,2165,0.045265588914549654,0.002771362586605081,433,0.004618937644341801,0.0023094688221709007
276,Vivendi,2183,0.04580852038479157,0.0022904260192395786,437,0.013729977116704805,0.0
277,The Nielsen Company,2164,0.045748613678373386,0.0027726432532347504,433,0.07390300230946882,0.07390300230946882
278,Vodafone Group,2165,0.045727482678983834,0.002771362586605081,433,0.013856812933025405,0.0023094688221709007
279,Volvo,2165,0.045265588914549654,0.002771362586605081,433,0.03695150115473441,0.009237875288683603
280,Volkswagen,2165,0.045265588914549654,0.002771362586605081,433,0.03695150115473441,0.013856812933025405
281,Wolters Kluwer,2165,0.046651270207852195,0.002771362586605081,433,0.025404157043879907,0.0023094688221709007
282,WPP,2183,0.04580852038479157,0.002748511223087494,437,0.02745995423340961,0.002288329519450801
285,Zurich Insurance,2182,0.045829514207149404,0.002749770852428964,437,0.05263157894736842,0.011441647597254004
553,Santander UK,2166,0.045706371191135735,0.002770083102493075,434,0.04838709677419355,0.01152073732718894
554,BBVA,2166,0.045706371191135735,0.002770083102493075,434,0.02304147465437788,0.0069124423963133645
555,Banco Santander,2166,0.04524469067405355,0.0023084025854108957,434,0.016129032258064516,0.0069124423963133645
