CDS_Id,Name,n,mean_z,std_z,skew_z,excess_kurtosis_z,KS_stat,KS_p,JB_stat,JB_p,exceed_abs_z_gt_2,exceed_abs_z_gt_3
1138,Next PLC,2165,-0.00016875084469625693,0.9973653148587983,-0.0005124646850438285,0.01850184119702325,0.10600461893764435,1.2253033879632882e-21,0.022299095155026833,0.9889123782660202,0.045265588914549654,0.002771362586605081
1141,Credit Agricole,2180,-2.2473735135153587e-05,0.9992241878438245,-6.49739565920485e-05,-0.0034543498249193227,0.06926605504587158,1.5397144854237209e-09,0.003490308972317662,0.9982563674104878,0.0463302752293578,0.0027522935779816515
1161,Unibail,2166,-0.0012496585510849768,0.8780141577686746,-0.008749415103868218,1.7853810828043688,0.355493998153278,1.9477107068218577e-245,285.49189866112835,1.0144295502735173e-62,0.04524469067405355,0.002770083102493075
1162,Swedish Match,2165,-0.0007307133327948092,0.9842772623542028,-0.003635608963430673,0.17014876278204083,0.19099307159353351,1.2239130766788354e-69,2.5201605842781643,0.2836312522255333,0.045265588914549654,0.0023094688221709007
1345,UBS,2165,-2.9084985252004983e-05,0.998780840763022,0.00014652179831124194,0.0005239905288578761,0.0808314087759815,9.425864225140469e-13,0.0004633209641750836,0.99976836634913,0.045265588914549654,0.002771362586605081
1370,Japan Tobacco,2129,-0.0007311565546972811,0.9862832746467386,-0.00250358567067134,0.15247080023517645,0.18318459370596524,5.359136925062026e-63,1.979468621413947,0.37167542808649806,0.04462188821042743,0.0028182245185533112
1408,Rentokil Initial,2165,-2.9609399373649657e-05,0.9935585513396861,-8.79480509679442e-05,0.06452042021341375,0.14341801385681296,2.5415624322750893e-39,0.34231956358162535,0.8426869166894125,0.045265588914549654,0.002771362586605081
1506,Xstrata,2166,1.0722428129905022e-05,0.9976388245166228,3.3823643099305143e-05,0.015508985057737235,0.10249307479224379,2.907332675925795e-20,0.014566928539132695,0.9927429958768342,0.04524469067405355,0.002770083102493075
1507,Sabmiller,2160,-0.0006482875172270357,0.9887423156617587,-0.0021690760256102538,0.12230841840470497,0.17175925925925928,3.460376087917784e-56,1.2815203142339995,0.5268917512605993,0.04537037037037037,0.002777777777777778
1903,Carlsberg,2179,-0.0005922220825161087,0.9814328190962803,-0.0021057391751688904,0.2132071117511276,0.2021569527306104,1.5263283604199055e-78,4.00422043372049,0.13504999755333533,0.045433685176686556,0.0027535566773749425
2576,Royal Dutch Shell,2179,-0.0003911737757862685,0.9907915847238887,-0.0012979612534257067,0.09792135804615443,0.16108306562643415,7.273961178725557e-50,0.819048925371863,0.663965915643165,0.04589261128958238,0.0027535566773749425
2611,Anheuser-Busch,952,-0.0006177382856828781,0.993627403671846,-0.0020160530515188116,0.050947799916414294,0.14128151260504207,4.836410976071037e-17,0.07878626967862451,0.9613726857478209,0.046218487394957986,0.0021008403361344537
2615,Brisa,957,-3.825216253912633e-06,0.999808971365837,-1.1699062427733524e-05,-0.022172488385513223,0.025078369905956133,0.5751297660686554,0.03198035333738465,0.9841369875114822,0.04597701149425287,0.0020898641588296763
2894,ING Bank,437,-0.00014502587555128847,0.9974709653154851,-0.00045475210693042285,-0.014733664811400704,0.10068649885583525,0.0002612258790193384,0.014561017207295945,0.9927459300978091,0.04576659038901602,0.004576659038901602
2895,Lloyds TSB Group,436,-0.00010600447473837452,0.9981877228761064,-0.0003303366401072999,-0.023314165397234188,0.08830275229357798,0.002083902318269362,0.024580007744739965,0.9877852097845302,0.045871559633027525,0.0045871559633027525
2897,Societe Generale,436,-0.00023423148147173417,0.9971131161783371,-0.000741563868101727,-0.01072387516276585,0.10550458715596334,0.00011132957212419184,0.010794543665896609,0.9946172672697474,0.045871559633027525,0.0045871559633027525
2899,BBVA,438,4.5023914766365845e-06,0.9979860338912356,1.1670100716001679e-05,-0.020672170420110714,0.09246575342465757,0.0010396713120753036,0.02122672657391471,0.9894427597263796,0.045662100456621,0.0045662100456621
