CDS_Id,n,mean,std,min,p01,p05,p95,p99,max,skew,excess_kurtosis,Name
103.0,2166.0,0.0009405086659869511,0.03577938868084933,-0.17595307917888559,-0.09999999999999998,-0.04908036785285891,0.05465452551625505,0.111892732930624,0.44736842105263164,1.4298588205995686,17.20923297282073,Fortum
105.0,2166.0,0.0007133863466114241,0.033527925277170106,-0.24216524216524216,-0.08801379003558722,-0.0490640556740832,0.05349000908265211,0.1041406726054028,0.23809523809523814,0.5868988848834973,6.737664436983504,Orange
106.0,2166.0,0.000727841822338801,0.03555976140927104,-0.2857142857142857,-0.09090909090909094,-0.04959819736465665,0.047477794913937665,0.11845362539199827,0.5625,2.889877487576067,41.961276365150255,Gallaher
107.0,2180.0,0.0015995352659606615,0.0472040861869676,-0.3678462210572303,-0.11769352756776696,-0.06819267150954289,0.0780804737580093,0.14529965289117908,0.3363636363636364,0.5291173655097603,6.444571980328671,Gas Natural
108.0,2184.0,0.000936469258807289,0.037305841141397136,-0.19047619047619047,-0.09698924731182797,-0.052518525521537,0.058087607205416426,0.125,0.4375,1.1755406251430962,13.280416617064539,GDF Suez
111.0,2166.0,0.0017217749831869187,0.04924458046098435,-0.36661384046487056,-0.11764705882352944,-0.06575847613667804,0.07777777777777772,0.1513461538461534,0.40625,0.6218548094182237,9.45323552244709,Generali
112.0,2166.0,0.0006245562786325954,0.03129097056189819,-0.18181818181818177,-0.08382768361581923,-0.0424628450106157,0.04510073968901235,0.10382653061224438,0.2729328977129932,1.4951145927127432,15.588095762294685,GlaxoSmithKline
116.0,2166.0,0.00045573523412913944,0.03332579994640574,-0.21875,-0.09725313757991945,-0.04968528011185239,0.05333684013940193,0.10691054544244918,0.31357501984652036,0.9033860319192795,11.446089928655416,Experian Finance
119.0,2181.0,0.0014699483965005737,0.050503202359857086,-0.3666666666666667,-0.1193188543022843,-0.06888361045130642,0.07808340727595375,0.14851851851851816,0.5,1.1692328962968233,13.030779898073355,Hannover Re
120.0,2164.0,0.0008199465499530118,0.04000115528084904,-0.25590955806783144,-0.09419422338090011,-0.04991744330970852,0.050000000000000044,0.13009993086543864,0.6666666666666667,4.288253681725075,64.29002431122606,Hanson
124.0,2166.0,0.00040744181769081163,0.029539419024815987,-0.1418338108882521,-0.07734446680253018,-0.04517358789893561,0.04665803108808286,0.10491299561524703,0.2857142857142858,1.2284257248683044,11.178647049509784,Heineken
125.0,2165.0,0.0023928947066202667,0.055945052294012566,-0.3693915867458264,-0.14765021134370399,-0.07708512894763953,0.09054339198946859,0.15939104477611954,0.6023551541543735,1.602282244777151,16.711646344984224,OTE
126.0,2166.0,0.000495442832368234,0.03396636159573754,-0.2727272727272727,-0.09468340511912973,-0.04832048159222785,0.05072184417868303,0.10326771721495356,0.32432432432432434,0.9316904460996578,13.785721784594056,Henkel
